admin_audit_logs	admin_audit_logs_pkey	CREATE UNIQUE INDEX admin_audit_logs_pkey ON public.admin_audit_logs USING btree (id)
projects	idx_projects_deleted_at	CREATE INDEX idx_projects_deleted_at ON public.projects USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
projects	idx_projects_user_status	CREATE INDEX idx_projects_user_status ON public.projects USING btree (user_id, status)
projects	projects_pkey	CREATE UNIQUE INDEX projects_pkey ON public.projects USING btree (id)
quality_reports	quality_reports_pkey	CREATE UNIQUE INDEX quality_reports_pkey ON public.quality_reports USING btree (id)
recharge_orders	recharge_orders_pkey	CREATE UNIQUE INDEX recharge_orders_pkey ON public.recharge_orders USING btree (id)
referral_records	idx_referral_records_referred	CREATE INDEX idx_referral_records_referred ON public.referral_records USING btree (referred_id)
referral_records	idx_referral_records_referrer	CREATE INDEX idx_referral_records_referrer ON public.referral_records USING btree (referrer_id)
referral_records	referral_records_pkey	CREATE UNIQUE INDEX referral_records_pkey ON public.referral_records USING btree (id)
setting_relationships	setting_relationships_pkey	CREATE UNIQUE INDEX setting_relationships_pkey ON public.setting_relationships USING btree (id)
settings	idx_settings_deleted_at	CREATE INDEX idx_settings_deleted_at ON public.settings USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
settings	settings_pkey	CREATE UNIQUE INDEX settings_pkey ON public.settings USING btree (id)
settings_deliveries	idx_settings_deliveries_project	CREATE INDEX idx_settings_deliveries_project ON public.settings_deliveries USING btree (project_id)
settings_deliveries	settings_deliveries_pkey	CREATE UNIQUE INDEX settings_deliveries_pkey ON public.settings_deliveries USING btree (id)
sprite_ai_tasks	idx_sprite_ai_tasks_entry	CREATE INDEX idx_sprite_ai_tasks_entry ON public.sprite_ai_tasks USING btree (entry_id)
sprite_ai_tasks	sprite_ai_tasks_pkey	CREATE UNIQUE INDEX sprite_ai_tasks_pkey ON public.sprite_ai_tasks USING btree (id)
sprite_bean_transactions	sprite_bean_transactions_pkey	CREATE UNIQUE INDEX sprite_bean_transactions_pkey ON public.sprite_bean_transactions USING btree (id)
sprite_conversations	idx_sprite_conv_user	CREATE INDEX idx_sprite_conv_user ON public.sprite_conversations USING btree (user_id, created_at DESC)
sprite_conversations	sprite_conversations_pkey	CREATE UNIQUE INDEX sprite_conversations_pkey ON public.sprite_conversations USING btree (id)
sprite_images	sprite_images_pkey	CREATE UNIQUE INDEX sprite_images_pkey ON public.sprite_images USING btree (id)
