admin_audit_logs	admin_id	users	id	admin_audit_logs_admin_id_fkey
ai_configs	user_id	users	id	ai_configs_user_id_users_id_fk
ai_roles	project_id	projects	id	ai_roles_project_id_projects_id_fk
ai_usage_logs	project_id	projects	id	ai_usage_logs_project_id_projects_id_fk
ai_usage_logs	user_id	users	id	ai_usage_logs_user_id_users_id_fk
art_assets	created_by	users	id	art_assets_created_by_fkey
art_assets	replaced_by	art_assets	id	art_assets_replaced_by_fkey
art_assets	updated_by	users	id	art_assets_updated_by_fkey
chapter_analysis	chapter_id	chapters	id	chapter_analysis_chapter_id_fkey
chapter_analysis	project_id	projects	id	chapter_analysis_project_id_fkey
chapter_analysis	user_id	users	id	chapter_analysis_user_id_fkey
chapter_versions	chapter_id	chapters	id	chapter_versions_chapter_id_chapters_id_fk
chapters	unit_id	units	id	chapters_unit_id_units_id_fk
character_states	chapter_id	chapters	id	character_states_chapter_id_chapters_id_fk
character_states	project_id	projects	id	character_states_project_id_projects_id_fk
checkin_records	user_id	users	id	checkin_records_user_id_fkey
conversation_messages	conversation_id	conversations	id	conversation_messages_conversation_id_fkey
conversations	project_id	projects	id	conversations_project_id_fkey
edit_logs	project_id	projects	id	edit_logs_project_id_fkey
feedbacks	user_id	users	id	feedbacks_user_id_fkey
foreshadows	planted_chapter_id	chapters	id	foreshadows_planted_chapter_id_chapters_id_fk
foreshadows	project_id	projects	id	foreshadows_project_id_projects_id_fk
foreshadows	resolved_chapter_id	chapters	id	foreshadows_resolved_chapter_id_chapters_id_fk
inventory_items	last_mentioned_chapter_id	chapters	id	inventory_items_last_mentioned_chapter_id_chapters_id_fk
inventory_items	project_id	projects	id	inventory_items_project_id_projects_id_fk
memory_entries	project_id	projects	id	memory_entries_project_id_projects_id_fk
memory_entries	source_chapter_id	chapters	id	memory_entries_source_chapter_id_chapters_id_fk
notifications	feedback_id	feedbacks	id	notifications_feedback_id_fkey
notifications	user_id	users	id	notifications_user_id_fkey
password_reset_tokens	user_id	users	id	password_reset_tokens_user_id_fkey
projects	user_id	users	id	projects_user_id_users_id_fk
quality_reports	chapter_version_id	chapter_versions	id	quality_reports_chapter_version_id_chapter_versions_id_fk
recharge_orders	user_id	users	id	recharge_orders_user_id_fkey
referral_records	referred_id	users	id	referral_records_referred_id_fkey
referral_records	referrer_id	users	id	referral_records_referrer_id_fkey
setting_relationships	project_id	projects	id	setting_relationships_project_id_fkey
settings	project_id	projects	id	settings_project_id_projects_id_fk
settings_deliveries	conversation_id	conversations	id	settings_deliveries_conversation_id_fkey
settings_deliveries	created_by	users	id	settings_deliveries_created_by_fkey
settings_deliveries	project_id	projects	id	settings_deliveries_project_id_fkey
sprite_ai_tasks	entry_id	sprite_text_entries	id	fk_sprite_ai_task_entry
sprite_bean_transactions	user_id	users	id	sprite_bean_transactions_user_id_fkey
sprite_images	asset_id	art_assets	id	sprite_images_asset_id_fkey
sprite_text_entries	ai_task_id	sprite_ai_tasks	id	fk_sprite_text_ai_task
story_narratives	project_id	projects	id	story_narratives_project_id_fkey
subscription_orders	user_id	users	id	subscription_orders_user_id_fkey
subscriptions	user_id	users	id	subscriptions_user_id_users_id_fk
system_presets	created_by	users	id	system_presets_created_by_fkey
system_presets	updated_by	users	id	system_presets_updated_by_fkey
template_comments	parent_comment_id	template_comments	id	template_comments_parent_comment_id_fkey
template_comments	template_id	templates	id	template_comments_template_id_fkey
template_comments	user_id	users	id	template_comments_user_id_fkey
template_likes	template_id	templates	id	template_likes_template_id_fkey
template_likes	user_id	users	id	template_likes_user_id_fkey
template_purchases	template_id	templates	id	template_purchases_template_id_fkey
template_purchases	user_id	users	id	template_purchases_user_id_fkey
template_ratings	template_id	templates	id	template_ratings_template_id_fkey
template_ratings	user_id	users	id	template_ratings_user_id_fkey
template_versions	user_template_id	user_templates	id	template_versions_user_template_id_fkey
templates	uploader_id	users	id	templates_uploader_id_fkey
token_consumption_logs	user_id	users	id	token_consumption_logs_user_id_fkey
token_recharge_orders	user_id	users	id	token_recharge_orders_user_id_fkey
transactions	user_id	users	id	transactions_user_id_fkey
units	volume_id	volumes	id	units_volume_id_volumes_id_fk
user_api_keys	user_id	users	id	user_api_keys_user_id_fkey
user_sprite_items	user_id	users	id	user_sprite_items_user_id_fkey
user_sprites	user_id	users	id	user_sprites_user_id_fkey
user_subscriptions	user_id	users	id	user_subscriptions_user_id_fkey
user_templates	project_id	projects	id	user_templates_project_id_fkey
user_templates	template_id	templates	id	user_templates_template_id_fkey
user_templates	user_id	users	id	user_templates_user_id_fkey
user_token_accounts	user_id	users	id	user_token_accounts_user_id_fkey
volumes	project_id	projects	id	volumes_project_id_projects_id_fk
withdrawal_requests	user_id	users	id	withdrawal_requests_user_id_fkey
